name,age,happiness,interviews,happinessWithTikTok,weight,education,birth year ,country,Sort
User 1,26,46,4,46,120,20.5,1995,Germany,20
User 1,26,46,4,46,120,21,1995,Germany,102
User 1,43.1,48,4,48,120,21.5,1977.9,Germany,243
User 1,44.3,48,4,48,200,21.7,1976.7,Germany,324
User 1,43.4,48,4,48,150,23.7,1977.6,Germany,325
User 1,29,49,4,49,120,19.5,1992,Germany,117
User 1,31,52,4,52,120,16.5,1990,Japan,143
User 1,29,52,4,52,120,22.2,1992,USA,194
User 1,32.8,52,4,52,150,19.4,1988.2,Japan,245
User 1,44,52,4,52,150,24.6,1977,Germany,389
User 1,33,53,4,53,200,17.5,1988,Japan,180
User 1,33,53,4,53,190,17.4,1988,Japan,197
User 1,23,54,4,54,120,23.5,1998,Germany,59
User 1,36,58,4,58,150,18.6,1985,Germany,217
User 1,39.1,58,4,58,120,16.9,1981.9,Japan,340
User 1,27,60,4,60,170,19,1994,Germany,55
User 1,24.5,60,4,60,150,22.1,1996.5,USA,195
User 1,36.1,60,4,60,190,16.4,1984.9,Japan,247
User 1,38.1,60,4,60,120,18.8,1982.9,Japan,309
User 1,35.1,60,4,60,150,16.1,1985.9,Japan,342
User 1,32,61,4,61,200,19,1989,Japan,144
User 1,29.8,62,4,62,120,15.3,1991.2,Germany,330
User 1,37.7,62,4,62,120,17.3,1983.3,Japan,345
User 1,30.5,63,4,63,120,17,1990.5,USA,236
User 1,34.7,63,4,63,120,14.9,1986.3,USA,347
User 1,38,63,4,63,120,14.7,1983,USA,373
User 1,39,64,4,64,190,16.4,1982,USA,341
User 1,31,65,4,65,190,19,1990,Japan,53
User 1,32,65,4,65,150,21,1989,Japan,130
User 1,34.1,65,4,65,170,15.2,1986.9,Japan,293
User 1,31.8,65,4,65,120,19.2,1989.2,Japan,302
User 1,37.2,65,4,65,120,16.4,1983.8,Japan,311
User 1,46.6,65,4,65,170,17.9,1974.4,Japan,321
User 1,40.8,65,4,65,120,19.2,1980.2,Japan,323
User 1,37,65,4,65,120,19.4,1984,Japan,344
User 1,34.4,65,4,65,190,16.2,1986.6,USA,348
User 1,29.9,65,4,65,150,20.7,1991.1,USA,349
User 1,36.1,66,4,66,120,14.4,1984.9,USA,244
User 1,31,67,4,67,120,19,1990,Japan,128
User 1,26,67,4,67,170,15.5,1995,Germany,141
User 1,31,67,4,67,120,16,1990,Germany,150
User 1,30,67,4,67,150,16.4,1991,Japan,238
User 1,36.4,67,5,67,120,19.9,1984.6,Germany,326
User 1,30,67,4,67,190,21.8,1991,Germany,327
User 1,44.6,67,4,67,150,13.8,1976.4,Japan,328
User 1,33.8,67,4,67,170,18,1987.2,Japan,329
User 1,32.3,67,4,67,170,17.8,1988.7,Japan,343
User 1,38,67,4,67,150,15,1983,Japan,378
User 1,32,67,4,67,170,15.7,1989,Japan,379
User 1,38,67,4,67,120,16.2,1983,Japan,380
User 1,31.5,68,4,68,120,18.5,1989.5,Japan,215
User 1,30,68,4,68,120,16.5,1991,USA,265
User 1,29.5,68,4,68,170,16.6,1991.5,Japan,278
User 1,34.1,68,4,68,150,16,1986.9,Japan,346
User 1,37,68,4,68,150,18.2,1984,Japan,371
User 1,31,68,4,68,170,17.6,1990,Japan,372
User 1,35,69,4,69,150,18,1986,Japan,54
User 1,26,69,4,69,120,18,1995,Germany,79
User 1,37.3,69,4,69,150,14.7,1983.7,Germany,303
User 1,30,70,4,65,150,19.5,1991,Germany,51
User 1,26,70,4,65,120,20.5,1995,USA,56
User 1,29,70,4,65,120,14,1992,Germany,174
User 1,29,70,4,65,120,14.2,1992,Germany,196
User 1,32,70,4,65,120,17,1989,Japan,203
User 1,33.5,70,4,65,190,16.8,1987.5,Japan,219
User 1,39.4,70,4,65,120,18.6,1981.6,Japan,246
User 1,34.2,70,4,65,170,13.2,1986.8,USA,300
User 1,34.5,70,4,65,120,14.9,1986.5,USA,301
User 1,32.1,70,4,65,150,15.5,1988.9,USA,310
User 1,36,70,4,65,120,17.3,1985,USA,374
User 1,34,70,4,65,190,16.9,1987,Japan,377
User 1,25,71,4,66,120,16.5,1996,Germany,171
User 1,29.5,71,4,66,150,12.2,1991.5,Germany,202
User 1,31.5,71,4,66,150,14.9,1989.5,Germany,277
User 1,31.9,71,4,66,150,14,1989.1,Germany,292
User 1,27.2,71,4,66,190,24.8,1993.8,Germany,298
User 1,22,72,4,67,190,19,1999,USA,46
User 1,21,72,4,67,150,19.5,2000,USA,109
User 1,15,72,6,67,120,21,2006,USA,153
User 1,15,72,6,67,190,19.5,2006,USA,154
User 1,26.5,72,4,67,150,13.6,1994.5,USA,205
User 1,32.4,72,4,67,190,17,1988.6,Japan,334
User 1,33,74,4,69,170,14.2,1988,Germany,350
User 1,31.6,74,4,69,120,18.3,1989.4,Japan,354
User 1,36,74,4,69,190,15.3,1985,Germany,370
User 1,24,75,4,70,190,15.5,1997,Germany,118
User 1,25,75,4,70,120,17,1996,USA,131
User 1,28,75,4,70,150,14.5,1993,USA,145
User 1,24,75,4,70,120,15.5,1997,Germany,146
User 1,26,75,4,70,190,14,1995,Germany,147
User 1,29,75,4,70,150,16,1992,Japan,166
User 1,28,75,4,70,190,16.4,1993,Japan,204
User 1,26,75,4,70,150,18.2,1995,Japan,234
User 1,30.9,75,4,70,120,14.5,1990.1,USA,268
User 1,31.3,75,4,70,120,17.5,1989.7,Japan,318
User 1,32.2,75,4,70,150,15.2,1988.8,Japan,320
User 1,33.7,75,4,70,120,14.4,1987.3,Japan,351
User 1,32.4,75,4,70,120,16.8,1988.6,Japan,352
User 1,36,75,4,70,120,14.5,1985,Japan,376
User 1,30,76,4,71,120,14.5,1991,Germany,52
User 1,22,76,4,71,170,18,1999,Germany,77
User 1,41.5,76,4,71,120,14.7,1979.5,Germany,308
User 1,30.7,76,6,71,150,19.6,1990.3,Germany,356
User 1,25.4,77,5,72,150,20.1,1995.6,Germany,296
User 1,26,78,4,73,120,14.5,1995,Germany,142
User 1,23,78,4,73,150,18.5,1998,USA,169
User 1,18,78,6,73,170,21,2003,USA,199
User 1,29,78,4,73,120,14.5,1992,Germany,232
User 1,30.5,78,4,73,120,14.1,1990.5,Germany,239
User 1,34.3,78,4,73,120,15.8,1986.7,Germany,316
User 1,26,79,4,74,150,17.7,1995,USA,184
User 1,28,79,4,74,190,18.6,1993,USA,391
User 1,25,80,4,70,150,17,1996,USA,58
User 1,28,80,4,70,150,15,1993,USA,83
User 1,26,80,4,70,120,16.5,1995,USA,129
User 1,30,80,4,70,200,14.8,1991,USA,216
User 1,35.7,80,4,70,120,14.4,1985.3,USA,294
User 1,27.4,80,4,70,120,15,1993.6,USA,295
User 1,28.1,80,4,70,190,20.4,1992.9,Germany,355
User 1,25,81,4,71,120,16.9,1996,Germany,182
User 1,24,81,6,71,170,17.6,1997,USA,192
User 1,31,82,4,72,150,19.4,1990,USA,392
User 1,29,83,4,73,150,16.5,1992,Germany,140
User 1,23,83,4,73,120,17,1998,USA,167
User 1,27,83,4,73,170,15.3,1994,Germany,185
User 1,33.5,83,4,73,120,15.9,1987.5,USA,237
User 1,27.2,84,4,74,150,15.7,1993.8,USA,335
User 1,26.6,84,4,74,170,16.4,1994.4,USA,336
User 1,30,84,4,74,150,12.9,1991,USA,339
User 1,29,84,4,74,120,16,1992,USA,367
User 1,36,84,4,74,170,13,1985,USA,386
User 1,32,84,4,74,120,11.6,1989,USA,390
User 1,21,85,6,75,150,16,2000,USA,18
User 1,19,85,4,75,150,18.5,2002,USA,112
User 1,20.2,85,6,75,150,15.8,2000.8,USA,253
User 1,20.8,85,6,75,120,16.7,2000.2,USA,258
User 1,23.8,85,4,75,170,17.6,1997.2,USA,271
User 1,19.8,85,6,75,120,18.2,2001.2,USA,280
User 1,17.6,85,6,75,120,16.6,2003.4,USA,362
User 1,31,85,4,75,120,16.2,1990,USA,366
User 1,38,85,6,75,150,17,1983,USA,382
User 1,23,86,4,76,120,14,1998,USA,49
User 1,21,86,4,76,150,16.5,2000,USA,61
User 1,22,86,4,76,150,16,1999,USA,80
User 1,28,86,4,76,150,15.5,1993,Germany,181
User 1,27,86,4,76,120,15.6,1994,USA,388
User 1,25,87,4,77,120,17.5,1996,Germany,21
User 1,21,87,4,77,120,19.5,2000,Germany,78
User 1,27,88,4,78,170,14.5,1994,Japan,19
User 1,27,88,4,78,120,14.5,1994,Japan,30
User 1,19,88,6,78,200,15.5,2002,USA,36
