name,age,happiness,interviews,happinesswithTikTok,weight,education,birth year ,country,
User 1,18,130,8,110,150,12,2003,USA,
User 1,15,165,8,145,120,11.5,2006,USA,
User 1,18,150,8,130,190,11,2003,USA,
User 1,16,150,8,130,150,12,2005,USA,
User 1,17,140,8,120,170,10.5,2004,USA,
User 1,15,198,8,178,120,10,2006,USA,
User 1,14,220,8,200,120,9,2007,USA,
User 1,14,215,8,195,150,8.5,2007,USA,
User 1,14,225,8,205,120,10,2007,USA,
User 1,15,190,8,170,190,8.5,2006,USA,
User 1,15,170,8,150,150,10,2006,USA,
User 1,14,160,8,140,170,8,2007,USA,
User 1,15,150,8,130,120,9.5,2006,USA,
User 1,14,225,8,205,120,10,2007,USA,
User 1,24,95,4,75,150,15,1997,Japan,
User 1,22,95,6,75,120,15.5,1999,USA,
User 1,18,97,6,77,190,15.5,2003,USA,
User 1,21,85,6,65,150,16,2000,USA,
User 1,27,88,4,68,170,14.5,1994,Japan,
User 1,26,46,4,26,120,20.5,1995,Germany,
User 1,25,87,4,67,120,17.5,1996,Germany,
User 1,24,90,4,70,150,14.5,1997,Germany,
User 1,25,95,4,75,120,17.5,1996,Germany,
User 1,26,113,4,93,190,12.5,1995,Germany,
User 1,21,90,6,70,150,15,2000,USA,
User 1,10,215,8,195,170,14,2011,USA,
User 1,10,200,8,180,120,15,2011,USA,
User 1,11,210,8,190,120,13.5,2010,USA,
User 1,9,193,8,173,150,18.5,2012,USA,
User 1,27,88,4,68,120,14.5,1994,Japan,
User 1,28,90,4,70,190,15.5,1993,USA,
User 1,25,95,4,75,150,14,1996,Japan,
User 1,19,100,6,80,170,13,2002,USA,
User 1,16,105,6,85,120,15.5,2005,USA,
User 1,17,100,6,80,120,15.5,2004,USA,
User 1,19,88,6,68,200,15.5,2002,USA,
User 1,18,100,6,80,150,15.5,2003,USA,
User 1,14,165,8,145,120,12,2007,USA,
User 1,14,175,8,155,190,11.5,2007,USA,
User 1,14,153,8,133,150,13.5,2007,USA,
User 1,14,150,8,130,170,13,2007,USA,
User 1,12,180,8,160,120,11.5,2009,USA,
User 1,13,170,8,150,120,12,2008,USA,
User 1,13,175,8,155,150,12,2008,USA,
User 1,18,110,6,90,120,13.5,2003,USA,
User 1,22,72,4,52,190,19,1999,USA,
User 1,19,100,6,80,150,15,2002,USA,
User 1,18,88,6,68,170,14.5,2003,USA,
User 1,23,86,4,66,120,14,1998,USA,
User 1,28,90,4,70,120,14,1993,Germany,
User 1,30,70,4,50,150,19.5,1991,Germany,
User 1,30,76,4,56,120,14.5,1991,Germany,
User 1,31,65,4,45,190,19,1990,Japan,
User 1,35,69,4,49,150,18,1986,Japan,
User 1,27,60,4,40,170,19,1994,Germany,
User 1,26,70,4,50,120,20.5,1995,USA,
User 1,24,95,4,75,120,15.5,1997,Japan,
User 1,25,80,4,60,150,17,1996,USA,
User 1,23,54,4,34,120,23.5,1998,Germany,
User 1,20,90,4,70,190,19.5,2001,USA,
User 1,21,86,4,66,150,16.5,2000,USA,
User 1,13,165,8,145,170,12,2008,USA,
User 1,14,175,8,155,120,12,2007,USA,
User 1,15,150,8,130,120,13.5,2006,USA,
User 1,14,153,8,133,150,13,2007,USA,
User 1,17,150,8,130,120,11.5,2004,USA,
User 1,11,208,8,188,190,11,2010,USA,
User 1,13,155,8,135,150,13.5,2008,USA,
User 1,12,160,8,140,170,13.5,2009,USA,
User 1,13,190,8,170,120,12.5,2008,USA,
User 1,19,97,3,77,120,13.5,2002,Japan,
User 1,15,150,8,130,200,12.5,2006,USA,
User 1,13,130,8,110,150,14,2008,USA,
User 1,13,140,8,120,120,16,2008,USA,
User 1,14,150,8,130,190,14,2007,USA,
User 1,18,112,4,92,150,14.5,2003,Germany,
User 1,22,76,4,56,170,18,1999,Germany,
User 1,21,87,4,67,120,19.5,2000,Germany,
User 1,26,69,4,49,120,18,1995,Germany,
User 1,22,86,4,66,150,16,1999,USA,
User 1,28,92,4,72,120,17,1993,Japan,
User 1,23,97,4,77,190,14.5,1998,Japan,
User 1,28,80,4,60,150,15,1993,USA,
User 1,27,88,4,68,170,16.5,1994,Japan,
User 1,13,175,8,155,120,13,2008,USA,
User 1,14,150,8,130,120,11.5,2007,USA,
User 1,13,145,8,125,150,13,2008,USA,
User 1,14,137,8,117,120,14.5,2007,USA,
User 1,15,150,8,130,190,12.5,2006,USA,
User 1,12,198,8,178,150,11.5,2009,USA,
User 1,13,150,8,130,170,12,2008,USA,
User 1,13,158,8,138,120,13,2008,USA,
User 1,14,150,8,130,120,14.5,2007,USA,
User 1,13,215,8,195,150,11,2008,USA,
User 1,12,225,8,205,120,11,2009,USA,
User 1,13,175,8,155,190,11,2008,USA,
User 1,18,105,6,85,150,16.5,2003,USA,
User 1,16,100,6,80,170,18,2005,USA,
User 1,18,100,6,80,120,16,2003,USA,
User 1,18,88,6,68,120,16.5,2003,USA,
User 1,23,95,6,75,150,16,1998,USA,
User 1,26,46,4,26,120,21,1995,Germany,
User 1,11,150,8,130,190,14,2010,USA,
User 1,12,167,8,147,150,12.5,2009,USA,
User 1,13,170,8,150,170,13,2008,USA,
User 1,12,180,8,160,120,12.5,2009,USA,
User 1,18,100,6,80,120,15,2003,USA,
User 1,20,88,4,68,200,19,2001,Japan,
User 1,21,72,4,52,150,19.5,2000,USA,
User 1,22,94,4,74,120,16.5,1999,Japan,
User 1,18,90,3,70,190,13.5,2003,Japan,
User 1,19,85,4,65,150,18.5,2002,USA,
User 1,21,107,6,87,170,14,2000,USA,
User 1,26,90,4,70,120,15.5,1995,Germany,
User 1,15,145,8,125,120,13,2006,USA,
User 1,16,230,8,210,150,9.5,2005,USA,
User 1,29,49,4,29,120,19.5,1992,Germany,
User 1,24,75,4,55,190,15.5,1997,Germany,
User 1,20,91,4,71,150,14,2001,Germany,
User 1,19,112,4,92,170,15.5,2002,Germany,
User 1,15,150,8,130,120,11,2006,USA,
User 1,24,110,4,90,120,14,1997,Germany,
User 1,20,122,6,102,150,13.5,2001,Japan,
User 1,11,180,8,160,120,11,2010,USA,
User 1,20,95,6,75,190,16.5,2001,USA,
User 1,19,100,6,80,150,16,2002,USA,
User 1,15,100,6,80,170,17,2006,USA,
User 1,31,67,4,47,120,19,1990,Japan,
User 1,26,80,4,60,120,16.5,1995,USA,
User 1,32,65,4,45,150,21,1989,Japan,
User 1,25,75,4,55,120,17,1996,USA,
User 1,16,100,6,80,190,17,2005,USA,
User 1,16,110,6,90,150,18,2005,USA,
User 1,18,105,6,85,170,16.5,2003,USA,
User 1,16,140,8,120,120,14,2005,USA,
User 1,13,150,8,130,120,14.5,2008,USA,
User 1,14,150,8,130,150,13.5,2007,USA,
User 1,14,140,8,120,120,16,2007,USA,
User 1,14,150,8,130,190,15.5,2007,USA,
User 1,29,83,4,63,150,16.5,1992,Germany,
User 1,26,67,4,47,170,15.5,1995,Germany,
User 1,26,78,4,58,120,14.5,1995,Germany,
User 1,31,52,4,32,120,16.5,1990,Japan,
User 1,32,61,4,41,200,19,1989,Japan,
User 1,28,75,4,55,150,14.5,1993,USA,
User 1,24,75,4,55,120,15.5,1997,Germany,
User 1,26,75,4,55,190,14,1995,Germany,
User 1,24,97,4,77,150,15,1997,Japan,
