name,mpg,horsepower,cylinders,displacement,weight,acceleration,year,origin,
chevrolet chevelle malibu,18,130,8,307,3504,12,1970,USA,
buick skylark 320,15,165,8,350,3693,11.5,1970,USA,
plymouth satellite,18,150,8,318,3436,11,1970,USA,
amc rebel sst,16,150,8,304,3433,12,1970,USA,
ford torino,17,140,8,302,3449,10.5,1970,USA,
ford galaxie 500,15,198,8,429,4341,10,1970,USA,
chevrolet impala,14,220,8,454,4354,9,1970,USA,
plymouth fury iii,14,215,8,440,4312,8.5,1970,USA,
pontiac catalina,14,225,8,455,4425,10,1970,USA,
amc ambassador dpl,15,190,8,390,3850,8.5,1970,USA,
dodge challenger se,15,170,8,383,3563,10,1970,USA,
plymouth 'cuda 340,14,160,8,340,3609,8,1970,USA,
chevrolet monte carlo,15,150,8,400,3761,9.5,1970,USA,
buick estate wagon (sw),14,225,8,455,3086,10,1970,USA,
toyota corona mark ii,24,95,4,113,2372,15,1970,Japan,
plymouth duster,22,95,6,198,2833,15.5,1970,USA,
amc hornet,18,97,6,199,2774,15.5,1970,USA,
ford maverick,21,85,6,200,2587,16,1970,USA,
datsun pl510,27,88,4,97,2130,14.5,1970,Japan,
volkswagen 1131 deluxe sedan,26,46,4,97,1835,20.5,1970,Germany,
peugeot 504,25,87,4,110,2672,17.5,1970,Germany,
audi 100 ls,24,90,4,107,2430,14.5,1970,Germany,
saab 99e,25,95,4,104,2375,17.5,1970,Germany,
bmw 2002,26,113,4,121,2234,12.5,1970,Germany,
amc gremlin,21,90,6,199,2648,15,1970,USA,
ford f250,10,215,8,360,4615,14,1970,USA,
chevy c20,10,200,8,307,4376,15,1970,USA,
dodge d200,11,210,8,318,4382,13.5,1970,USA,
hi 1200d,9,193,8,304,4732,18.5,1970,USA,
datsun pl510,27,88,4,97,2130,14.5,1971,Japan,
chevrolet vega 2300,28,90,4,140,2264,15.5,1971,USA,
toyota corona,25,95,4,113,2228,14,1971,Japan,
amc gremlin,19,100,6,232,2634,13,1971,USA,
plymouth satellite custom,16,105,6,225,3439,15.5,1971,USA,
chevrolet chevelle malibu,17,100,6,250,3329,15.5,1971,USA,
ford torino 500,19,88,6,250,3302,15.5,1971,USA,
amc matador,18,100,6,232,3288,15.5,1971,USA,
chevrolet impala,14,165,8,350,4209,12,1971,USA,
