name,age,coffeeUSA,coffeeCanada,education,interviews,weight,birth year ,country,Sort,Sort1
User 1,30,80,40,16,8,120,2011,USA,27,1
User 2,31,90,50,14,8,120,2010,USA,28,2
User 3,32,60,20,11,8,170,2009,USA,69,3
User 4,33,75,35,9,8,120,2009,USA,42,4
User 5,34,90,50,4,8,120,2007,USA,7,5
User 6,35,100,60,5,8,150,2006,USA,11,6
User 7,36,110,70,12,8,120,2005.5,USA,230,7
User 8,37,120,230,6,8,150,2005,USA,116,8
User 9,38,130,110,17,8,150,2004,USA,284,9
User 10,39,140,85,7,8,170,2004,USA,5,10
User 11,40,150,110,8,8,190,2003,USA,3,11
User 12,41,160,90,23,6,170,2002,USA,33,12
User 13,42,170,70,22,4,190,1997,Germany,118,13
User 14,43,180,80,10,4,150,1997,Germany,22,14
User 15,44,190,110,13,6,120,1996.8,Japan,358,15
User 16,45,200,100,20,6,120,1996,USA,381,16
User 17,46,210,46,24,4,120,1995,Germany,20,17
User 18,47,220,60,21,4,170,1994,Germany,55,18
User 19,48,230,190,19,4,120,1990,Japan,143,19
User 20,49,240,200,18,4,120,1990,Japan,143,20
User 21,50,250,210,15,4,120,1990,Japan,143,21
