name,age,happiness,happinessWithTikTok,education,interviews,weight,birth year ,country,Sort
User 1,30,80,40,10,8,120,2011,USA,27
User 2,31,90,50,9,8,120,2010,USA,28
User 3,32,60,20,8.5,8,170,2009,USA,69
User 4,33,75,35,6.5,8,120,2009,USA,42
User 5,34,90,50,4,8,120,2007,USA,7
User 6,35,100,60,5,8,150,2006,USA,11
User 7,36,110,70,7.2,8,120,2005.5,USA,230
User 8,37,120,230,4.5,8,150,2005,USA,116
User 9,38,130,110,10,8,150,2004,USA,284
User 10,39,140,85,5.5,8,170,2004,USA,5
User 11,40,150,110,6,8,190,2003,USA,3
User 12,41,160,90,8,6,170,2002,USA,33
User 13,42,170,70,10.5,4,190,1997,Germany,118
User 14,43,180,80,9.5,4,150,1997,Germany,22
User 15,44,190,110,8.8,6,120,1996.8,Japan,358
User 16,45,200,100,11.4,6,120,1996,USA,381
User 17,46,210,46,15.5,4,120,1995,Germany,20
User 18,47,220,60,14,4,170,1994,Germany,55
User 19,48,230,190,11.5,4,120,1990,Japan,143
User 20,49,240,200,11.5,4,120,1990,Japan,143
User 21,50,250,210,11.5,4,120,1990,Japan,143
