Year,Avg Annual Temp,Anomaly
1920,56.1,-1.3
1921,57.3,-0.1
1922,56.1,-1.3
1923,56.4,-1
1924,57.1,-0.3
1925,57.1,-0.3
1926,58.8,1.4
1927,56.9,-0.5
1928,57.7,0.3
1929,57.2,-0.2
1930,56.9,-0.5
1931,58.3,0.9
1932,56.9,-0.5
1933,56.7,-0.7
1934,59.7,2.3
1935,56.8,-0.6
1936,58.6,1.2
1937,57.2,-0.2
1938,57.2,-0.2
1939,58.3,0.9
1940,58.8,1.4
1941,57.1,-0.3
1942,57,-0.4
1943,57.8,0.4
1944,56.2,-1.2
1945,57.1,-0.3
1946,56.7,-0.7
1947,57.6,0.2
1948,55.6,-1.8
1949,56.2,-1.2
1950,58.1,0.7
1951,57.2,-0.2
1952,56.8,-0.6
1953,57.2,-0.2
1954,57.6,0.2
1955,56.2,-1.2
1956,57,-0.4
1957,57.1,-0.3
1958,58.9,1.5
1959,59,1.6
1960,58,0.6
1961,57.8,0.4
1962,57.4,0
1963,57.1,-0.3
1964,56.6,-0.8
1965,56.7,-0.7
1966,58,0.6
1967,57.5,0.1
1968,57.6,0.2
1969,57.5,0.1
1970,57.8,0.4
1971,56.2,-1.2
1972,57.3,-0.1
1973,57.3,-0.1
1974,57.6,0.2
1975,56.3,-1.1
1976,57.5,0.1
1977,58,0.6
1978,57.6,0.2
1979,57.7,0.3
1980,58.1,0.7
1981,59.3,1.9
1982,56.3,-1.1
1983,57.6,0.2
1984,58.2,0.8
1985,57.3,-0.1
1986,58.9,1.5
1987,58.3,0.9
1988,58.8,1.4
1989,58.1,0.7
1990,58,0.6
1991,58.1,0.7
1992,59.3,1.9
1993,57.7,0.3
1994,58,0.6
1995,58.9,1.5
1996,59.6,2.2
1997,59.1,1.7
1998,56.7,-0.7
1999,58,0.6
2000,58.8,1.4
2001,59.1,1.7
2002,58.8,1.4
2003,59.4,2
2004,58.9,1.5
2005,58.6,1.2
2006,58.6,1.2
2007,58.9,1.5
2008,58.9,1.5
2009,58.8,1.4
2010,57.7,0.3
2011,57.4,0
2012,59.5,2.1
2013,59.3,1.9
2014,61.4,4
2015,60.8,3.4
2016,60.1,2.7
2017,60.3,2.9
2018,60.1,2.7
2019,58.4,1
