Year,Transistors per microprocessor,Wealth Gap
1971,"2,308",0.3980
1972,"3,555",0.3940
1974,"6,098",0.3700
1979,"29,164",0.3480
1982,"135,773",0.3180
1985,"273,842",0.2740
1989,"1,207,901",0.3040
1993,"3,105,900",0.3500
1995,"9,646,616",0.3520
1998,"15,261,378",0.3840
1999,"21,673,922",0.3900
2000,"37,180,267",0.3960
2001,"42,550,655",0.3840
2002,"55,730,604",0.3800
2003,"151,247,255",0.3860
2004,"273,841,963",0.4000
2005,"305,052,789",0.3980
2006,"582,941,535",0.4140
2007,"805,842,188",0.4320
2009,"2,308,241,527",0.5020
2013,"5,000,000,000",0.5430
2014,"5,700,000,000",0.5520
2015,"10,000,000,000",0.5620
2017,"19,200,000,000",0.5760
