Position,Track Name,Artist,Streams,URL
1,willow,Taylor Swift,1531160,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
2,champagne problems,Taylor Swift,1318673,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339
3,Rockin' Around The Christmas Tree,Brenda Lee,1148757,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
4,‘tis the damn season,Taylor Swift,1144147,https://open.spotify.com/track/4GBkffrtA51p17JH35irGA
5,gold rush,Taylor Swift,1117936,https://open.spotify.com/track/5BK0uqwY9DNfZ630STAEaq
6,All I Want for Christmas Is You,Mariah Carey,1112073,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
7,"no body, no crime (feat. HAIM)",Taylor Swift,1111995,https://open.spotify.com/track/6NriykdkRrjQMZo1sfVYUo
8,Jingle Bell Rock,Bobby Helms,1042909,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
9,It's the Most Wonderful Time of the Year,Andy Williams,1001471,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
10,tolerate it,Taylor Swift,988433,https://open.spotify.com/track/0PurA4JVJ8YQgSVopY8fn6
11,Last Christmas,Wham!,947433,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
12,Santa Tell Me,Ariana Grande,937644,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
13,happiness,Taylor Swift,912817,https://open.spotify.com/track/73YUReisjb3A9ActdLLjJQ
14,Tequila Shots,Kid Cudi,912650,https://open.spotify.com/track/30KctD1WsHKTIYczXjip5a
15,ivy,Taylor Swift,888656,https://open.spotify.com/track/19CSr8rwW05VJL2F91KFNK
16,It's Beginning to Look a Lot like Christmas,Michael Bublé,832536,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
17,long story short,Taylor Swift,819140,https://open.spotify.com/track/0vVMlbdYx2080Oa9FndPZr
18,34+35,Ariana Grande,817189,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
19,coney island (feat. The National),Taylor Swift,808953,https://open.spotify.com/track/4tyX1rw9X309WkEdh2As4B
20,DÁKITI,Bad Bunny,804752,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
